,0,1,2
37,Jan 29 13:07:02 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=6716 DF PROTO=TCP SPT=56794 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265E57B0000000001030300) 
38,Jan 29 13:07:05 myth sshd[11882]: Invalid user seongjin from ,220.195.35.40,
39,Jan 29 13:07:09 myth sshd[11884]: Invalid user sun from ,220.195.35.40,
40,Jan 29 13:07:13 myth sshd[11886]: Invalid user susan from ,220.195.35.40,
41,Jan 29 13:07:17 myth sshd[11888]: Invalid user temp from ,220.195.35.40,
42,Jan 29 13:07:21 myth sshd[11890]: Invalid user town from ,220.195.35.40,
43,Jan 29 13:07:22 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=21627 DF PROTO=TCP SPT=42671 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265ED750000000001030300) 
44,Jan 29 13:07:25 myth sshd[11892]: Invalid user lady from ,220.195.35.40,
45,Jan 29 13:07:29 myth sshd[11894]: Invalid user water from ,220.195.35.40,
46,Jan 29 13:07:34 myth sshd[11896]: Invalid user webrun from ,220.195.35.40,
47,Jan 29 13:07:38 myth sshd[11898]: Invalid user callhome from ,220.195.35.40,
48,Jan 29 13:07:42 myth sshd[11900]: Invalid user foobar from ,220.195.35.40,
49,Jan 29 13:07:43 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=54641 DF PROTO=TCP SPT=56545 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265F5A30000000001030300) 
50,Jan 29 13:07:46 myth sshd[11902]: Invalid user ircd from ,220.195.35.40,
51,Jan 29 13:07:50 myth sshd[11904]: Invalid user jeni from ,220.195.35.40,
52,Jan 29 13:07:54 myth sshd[11906]: Invalid user nick from ,220.195.35.40,
53,Jan 29 13:07:58 myth sshd[11908]: Invalid user webster from ,220.195.35.40,
54,Jan 29 13:08:02 myth sshd[11910]: Invalid user staff from ,220.195.35.40,
55,Jan 29 13:08:04 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=61609 DF PROTO=TCP SPT=42282 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265FD9A0000000001030300) 
56,Jan 29 13:08:07 myth sshd[11912]: Invalid user saito from ,220.195.35.40,
57,Jan 29 13:08:10 myth sshd[11914]: Invalid user support from ,220.195.35.40,
58,Jan 29 13:08:14 myth sshd[11916]: Invalid user x from ,220.195.35.40,
59,Jan 29 13:08:18 myth sshd[11922]: Invalid user bula from ,220.195.35.40,
60,Jan 29 13:08:22 myth sshd[11924]: Invalid user felix from ,220.195.35.40,
61,Jan 29 13:08:23 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=52619 DF PROTO=TCP SPT=56266 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0266055A0000000001030300) 
62,Jan 29 13:08:27 myth sshd[11926]: Invalid user lead from ,220.195.35.40,
63,Jan 29 13:08:30 myth sshd[11928]: Invalid user romeo from ,220.195.35.40,
64,Jan 29 13:08:34 myth sshd[11930]: Invalid user sarolta from ,220.195.35.40,
65,Jan 29 13:08:38 myth sshd[11932]: Invalid user zemba from ,220.195.35.40,
66,Jan 29 13:08:42 myth sshd[11934]: Invalid user amar from ,220.195.35.40,
67,Jan 29 13:08:43 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=25529 DF PROTO=TCP SPT=41578 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02660D240000000001030300) 
68,Jan 29 13:08:46 myth sshd[11936]: Invalid user jubar from ,220.195.35.40,
69,Jan 29 13:08:50 myth sshd[11938]: Invalid user mckey from ,220.195.35.40,
70,Jan 29 13:08:54 myth sshd[11940]: Invalid user notorius from ,220.195.35.40,
71,Jan 29 13:09:01 myth sshd[11942]: Invalid user avenues from ,220.195.35.40,
